index,SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes,Geo,Region,Salesperson,Team,Location,Product,Category,Size,Cost_per_box,Profit,Month
607,SP18,G1,P12,2021-03-01,5691,216,335,India,APAC,Madelene Upcott,Jucies,Wellington,Fruit & Nut Bars,Bars,LARGE,1.58,5161.7,2021-03
608,SP22,G5,P04,2021-03-01,5397,66,300,Australia,APAC,Jehu Rudeforth,,Seattle,Raspberry Choco,Bars,LARGE,4.09,4170.0,2021-03
609,SP08,G2,P16,2021-03-01,3276,61,143,USA,Americas,Ches Bonnell,,Hyderabad,Organic Choco Syrup,Other,SMALL,1.47,3065.79,2021-03
610,SP09,G4,P07,2021-03-01,4102,14,187,New Zealand,APAC,Andria Kimpton,Jucies,Hyderabad,Drinking Coco,Other,LARGE,1.62,3799.06,2021-03
611,SP02,G5,P18,2021-03-01,476,86,18,Australia,APAC,Dennison Crosswaite,Yummies,Hyderabad,Manuka Honey Choco,Other,SMALL,4.75,390.5,2021-03
612,SP14,G3,P16,2021-03-01,4858,138,157,Canada,Americas,Dotty Strutley,Delish,Wellington,Organic Choco Syrup,Other,SMALL,1.47,4627.21,2021-03
613,SP09,G3,P08,2021-03-01,7259,69,404,Canada,Americas,Andria Kimpton,Jucies,Hyderabad,99% Dark & Pure,Bars,LARGE,2.47,6261.12,2021-03
614,SP08,G1,P03,2021-03-02,6209,35,311,India,APAC,Ches Bonnell,,Hyderabad,Almond Choco,Bars,LARGE,9.6,3223.4,2021-03
615,SP09,G4,P16,2021-03-02,12390,269,539,New Zealand,APAC,Andria Kimpton,Jucies,Hyderabad,Organic Choco Syrup,Other,SMALL,1.47,11597.67,2021-03
616,SP20,G6,P21,2021-03-02,686,103,41,UK,Europe,Oby Sorrel,Jucies,Seattle,Choco Coated Almonds,Bites,SMALL,6.17,433.03,2021-03
617,SP18,G4,P01,2021-03-02,9030,563,312,New Zealand,APAC,Madelene Upcott,Jucies,Wellington,Milk Bars,Bars,LARGE,1.52,8555.76,2021-03
618,SP14,G3,P03,2021-03-02,5376,48,256,Canada,Americas,Dotty Strutley,Delish,Wellington,Almond Choco,Bars,LARGE,9.6,2918.4,2021-03
619,SP24,G5,P17,2021-03-02,2898,17,126,Australia,APAC,Roddy Speechley,Delish,Seattle,Caramel Stuffed Bars,Bars,SMALL,0.54,2829.96,2021-03
620,SP01,G2,P03,2021-03-02,18900,13,945,USA,Americas,Barr Faughny,Yummies,Hyderabad,Almond Choco,Bars,LARGE,9.6,9828.0,2021-03
621,SP18,G2,P11,2021-03-02,5082,95,182,USA,Americas,Madelene Upcott,Jucies,Wellington,After Nines,Bites,LARGE,4.43,4275.74,2021-03
622,SP16,G5,P04,2021-03-02,2016,177,107,Australia,APAC,Marney O'Breen,Jucies,Wellington,Raspberry Choco,Bars,LARGE,4.09,1578.37,2021-03
623,SP10,G2,P20,2021-03-02,847,145,50,USA,Americas,Brien Boise,Jucies,Wellington,Smooth Sliky Salty,Bars,SMALL,2.97,698.5,2021-03
624,SP10,G4,P15,2021-03-03,4200,57,350,New Zealand,APAC,Brien Boise,Jucies,Wellington,Baker's Choco Chips,Bars,SMALL,3.4,3010.0,2021-03
625,SP03,G4,P22,2021-03-03,17577,190,977,New Zealand,APAC,Gunar Cockshoot,Yummies,Hyderabad,Peanut Butter Cubes,Bites,SMALL,3.57,14089.11,2021-03
626,SP09,G1,P09,2021-03-03,861,108,96,India,APAC,Andria Kimpton,Jucies,Hyderabad,Orange Choco,Bars,LARGE,7.14,175.56000000000006,2021-03
627,SP03,G3,P07,2021-03-03,3829,434,142,Canada,Americas,Gunar Cockshoot,Yummies,Hyderabad,Drinking Coco,Other,LARGE,1.62,3598.96,2021-03
628,SP01,G6,P18,2021-03-03,1155,238,37,UK,Europe,Barr Faughny,Yummies,Hyderabad,Manuka Honey Choco,Other,SMALL,4.75,979.25,2021-03
629,SP19,G5,P15,2021-03-03,11123,189,1391,Australia,APAC,Beverie Moffet,Jucies,Seattle,Baker's Choco Chips,Bars,SMALL,3.4,6393.6,2021-03
630,SP22,G4,P15,2021-03-03,8505,82,532,New Zealand,APAC,Jehu Rudeforth,,Seattle,Baker's Choco Chips,Bars,SMALL,3.4,6696.2,2021-03
631,SP05,G2,P07,2021-03-03,4130,152,138,USA,Americas,Gigi Bohling,Delish,Hyderabad,Drinking Coco,Other,LARGE,1.62,3906.44,2021-03
632,SP14,G5,P01,2021-03-03,420,43,15,Australia,APAC,Dotty Strutley,Delish,Wellington,Milk Bars,Bars,LARGE,1.52,397.2,2021-03
633,SP07,G5,P06,2021-03-03,994,92,63,Australia,APAC,Kaine Padly,Delish,Hyderabad,Eclairs,Bites,LARGE,2.24,852.88,2021-03
634,SP13,G6,P05,2021-03-03,3689,364,176,UK,Europe,Jan Morforth,Delish,Wellington,Mint Chip Choco,Bars,LARGE,1.54,3417.96,2021-03
635,SP16,G2,P06,2021-03-03,13195,124,880,USA,Americas,Marney O'Breen,Jucies,Wellington,Eclairs,Bites,LARGE,2.24,11223.8,2021-03
